"序号","时间戳","帧类型","帧格式","CAN类型","ID","状态","数据长度","数据内容"
"1849","11:12:22.270","标准帧","数据帧","CAN","0x0","接收成功","8","11 AE F4 84 28 12 21 1F"
"1850","11:12:22.270","标准帧","数据帧","CAN","0x0","接收成功","8","11 AE F4 84 18 12 21 1F"
"1851","11:12:22.270","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"1852","11:12:22.270","标准帧","数据帧","CAN","0x0","接收成功","8","11 AF 1C 84 58 0E 21 1F"
"1853","11:12:22.270","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"1854","11:12:22.270","标准帧","数据帧","CAN","0x0","接收成功","8","11 AF 23 84 38 0E 21 1F"
"1855","11:12:22.270","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"1856","11:12:22.270","标准帧","数据帧","CAN","0x0","接收成功","8","11 AF 28 84 38 10 21 1F"
"1857","11:12:22.280","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"1858","11:12:22.280","标准帧","数据帧","CAN","0x0","接收成功","8","11 AF 30 84 18 12 21 1F"
"1859","11:12:22.280","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"1860","11:12:22.280","标准帧","数据帧","CAN","0x0","接收成功","8","11 AF 34 84 28 13 21 1F"
"1861","11:12:22.280","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"1862","11:12:22.280","标准帧","数据帧","CAN","0x0","接收成功","8","11 AF 35 84 28 13 21 1F"
"1863","11:12:22.280","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"1864","11:12:22.280","标准帧","数据帧","CAN","0x0","接收成功","8","11 AF 3C 84 38 12 21 1F"
"1865","11:12:22.280","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"1866","11:12:22.280","标准帧","数据帧","CAN","0x0","接收成功","8","11 AF 41 84 38 12 21 1F"
"1867","11:12:22.280","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"1868","11:12:22.280","标准帧","数据帧","CAN","0x0","接收成功","8","11 AF 42 84 48 11 21 1F"
"1869","11:12:22.280","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"1870","11:12:22.280","标准帧","数据帧","CAN","0x0","接收成功","8","11 AF 4A 84 58 0F 21 1F"
"1871","11:12:22.280","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"1872","11:12:22.280","标准帧","数据帧","CAN","0x0","接收成功","8","11 AF 4C 84 78 0E 21 1F"
"1873","11:12:22.302","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"1874","11:12:22.302","标准帧","数据帧","CAN","0x0","接收成功","8","11 AF 50 84 68 0E 21 1F"
"1875","11:12:22.302","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"1876","11:12:22.302","标准帧","数据帧","CAN","0x0","接收成功","8","11 AF 56 84 58 0E 21 1F"
"1877","11:12:22.302","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"1878","11:12:22.302","标准帧","数据帧","CAN","0x0","接收成功","8","11 AF 60 84 28 0E 21 1F"
"1879","11:12:22.302","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"1880","11:12:22.302","标准帧","数据帧","CAN","0x0","接收成功","8","11 AF 62 84 38 0F 21 1F"
"1881","11:12:22.313","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"1882","11:12:22.313","标准帧","数据帧","CAN","0x0","接收成功","8","11 AF 69 84 18 11 21 1F"
"1883","11:12:22.313","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"1884","11:12:22.313","标准帧","数据帧","CAN","0x0","接收成功","8","11 AF 8B 84 68 0F 21 1F"
"1885","11:12:22.313","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"1886","11:12:22.313","标准帧","数据帧","CAN","0x0","接收成功","8","11 AF 8E 84 88 0E 21 1F"
"1887","11:12:22.313","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"1888","11:12:22.313","标准帧","数据帧","CAN","0x0","接收成功","8","11 AF 93 84 68 0D 21 1F"
"1889","11:12:22.313","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"1890","11:12:22.313","标准帧","数据帧","CAN","0x0","接收成功","8","11 AF 95 84 68 0D 21 1F"
"1891","11:12:22.313","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"1892","11:12:22.313","标准帧","数据帧","CAN","0x0","接收成功","8","11 AF 9C 84 68 0D 21 1F"
"1893","11:12:22.313","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"1894","11:12:22.323","标准帧","数据帧","CAN","0x0","接收成功","8","11 AF A1 84 48 0E 21 1F"
"1895","11:12:22.323","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"1896","11:12:22.323","标准帧","数据帧","CAN","0x0","接收成功","8","11 AF A1 84 48 0E 21 1F"
"1897","11:12:22.323","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"1898","11:12:22.323","标准帧","数据帧","CAN","0x0","接收成功","8","11 AF A7 84 28 11 21 1F"
"1899","11:12:22.323","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"1900","11:12:22.323","标准帧","数据帧","CAN","0x0","接收成功","8","11 AF AB 84 18 11 21 1F"
"1901","11:12:22.323","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"1902","11:12:22.323","标准帧","数据帧","CAN","0x0","接收成功","8","11 AF AC 84 18 11 21 1F"
"1903","11:12:22.323","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"1904","11:12:22.323","标准帧","数据帧","CAN","0x0","接收成功","8","11 AF B2 84 08 13 21 1F"
"1905","11:12:22.323","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"1906","11:12:22.323","标准帧","数据帧","CAN","0x0","接收成功","8","11 AF B4 84 18 14 21 1F"
"1907","11:12:22.323","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"1908","11:12:22.323","标准帧","数据帧","CAN","0x0","接收成功","8","11 AF B9 84 18 13 21 1F"
"1909","11:12:22.335","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"1910","11:12:22.335","标准帧","数据帧","CAN","0x0","接收成功","8","11 AF C2 84 48 12 21 1F"
"1911","11:12:22.335","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"1912","11:12:22.335","标准帧","数据帧","CAN","0x0","接收成功","8","11 AF C6 84 58 11 21 1F"
"1913","11:12:22.335","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"1914","11:12:22.335","标准帧","数据帧","CAN","0x0","接收成功","8","11 AF C6 84 58 11 21 1F"
"1915","11:12:22.335","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"1916","11:12:22.335","标准帧","数据帧","CAN","0x0","接收成功","8","11 AF CC 84 58 0F 21 1F"
"1917","11:12:22.335","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"1918","11:12:22.335","标准帧","数据帧","CAN","0x0","接收成功","8","11 AF CE 84 58 0F 21 1F"
"1919","11:12:22.335","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"1920","11:12:22.335","标准帧","数据帧","CAN","0x0","接收成功","8","11 AF D3 84 68 0E 21 1F"
"1921","11:12:22.335","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"1922","11:12:22.335","标准帧","数据帧","CAN","0x0","接收成功","8","11 AF DB 84 68 0D 21 1F"
"1923","11:12:22.335","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"1924","11:12:22.345","标准帧","数据帧","CAN","0x0","接收成功","8","11 AF DE 84 28 0E 21 1F"
"1925","11:12:22.345","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"1926","11:12:22.345","标准帧","数据帧","CAN","0x0","接收成功","8","11 AF DF 84 28 0E 21 1F"
"1927","11:12:22.345","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"1928","11:12:22.345","标准帧","数据帧","CAN","0x0","接收成功","8","11 AF E6 84 28 10 21 1F"
"1929","11:12:22.345","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"1930","11:12:22.345","标准帧","数据帧","CAN","0x0","接收成功","8","11 AF EA 84 38 10 21 1F"
"1931","11:12:22.345","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"1932","11:12:22.345","标准帧","数据帧","CAN","0x0","接收成功","8","11 AF EB 84 28 11 21 1F"
"1933","11:12:22.345","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"1934","11:12:22.345","标准帧","数据帧","CAN","0x0","接收成功","8","11 AF F3 84 18 13 21 1F"
"1935","11:12:22.345","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"1936","11:12:22.345","标准帧","数据帧","CAN","0x0","接收成功","8","11 AF F4 84 18 13 21 1F"
"1937","11:12:22.345","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"1938","11:12:22.356","标准帧","数据帧","CAN","0x0","接收成功","8","11 AF F8 84 18 13 21 1F"
"1939","11:12:22.356","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"1940","11:12:22.356","标准帧","数据帧","CAN","0x0","接收成功","8","11 AF FC 84 28 13 21 1F"
"1941","11:12:22.356","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"1942","11:12:22.356","标准帧","数据帧","CAN","0x0","接收成功","8","11 B0 01 84 48 12 21 1F"
"1943","11:12:22.356","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"1944","11:12:22.356","标准帧","数据帧","CAN","0x0","接收成功","8","11 B0 06 84 38 10 21 1F"
"1945","11:12:22.356","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"1946","11:12:22.356","标准帧","数据帧","CAN","0x0","接收成功","8","11 B0 0B 84 48 10 21 1F"
"1947","11:12:22.356","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"1948","11:12:22.356","标准帧","数据帧","CAN","0x0","接收成功","8","11 B0 10 84 58 0F 21 1F"
"1949","11:12:22.367","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"1950","11:12:22.367","标准帧","数据帧","CAN","0x0","接收成功","8","11 B0 15 84 68 0F 21 1F"
"1951","11:12:22.367","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"1952","11:12:22.367","标准帧","数据帧","CAN","0x0","接收成功","8","11 B0 19 84 68 0D 21 1F"
"1953","11:12:22.367","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"1954","11:12:22.367","标准帧","数据帧","CAN","0x0","接收成功","8","11 B0 1E 84 48 0E 21 1F"
"1955","11:12:22.367","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"1956","11:12:22.367","标准帧","数据帧","CAN","0x0","接收成功","8","11 B0 21 84 38 0E 21 1F"
"1957","11:12:22.367","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"1958","11:12:22.367","标准帧","数据帧","CAN","0x0","接收成功","8","11 B0 25 84 48 0F 21 1F"
"1959","11:12:22.367","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"1960","11:12:22.367","标准帧","数据帧","CAN","0x0","接收成功","8","11 B0 29 84 38 0F 21 1F"
"1961","11:12:22.367","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"1962","11:12:22.378","标准帧","数据帧","CAN","0x0","接收成功","8","11 B0 2E 84 28 10 21 1F"
"1963","11:12:22.378","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"1964","11:12:22.378","标准帧","数据帧","CAN","0x0","接收成功","8","11 B0 32 84 48 10 21 1F"
"1965","11:12:22.378","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"1966","11:12:22.378","标准帧","数据帧","CAN","0x0","接收成功","8","11 B0 35 84 48 10 21 1F"
"1967","11:12:22.378","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"1968","11:12:22.378","标准帧","数据帧","CAN","0x0","接收成功","8","11 B0 36 84 48 10 21 1F"
"1969","11:12:22.378","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"1970","11:12:22.378","标准帧","数据帧","CAN","0x0","接收成功","8","11 B0 3A 84 28 11 21 1F"
"1971","11:12:22.378","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"1972","11:12:22.378","标准帧","数据帧","CAN","0x0","接收成功","8","11 B0 3D 84 28 12 21 1F"
"1973","11:12:22.378","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"1974","11:12:22.378","标准帧","数据帧","CAN","0x0","接收成功","8","11 B0 42 84 38 11 21 1F"
"1975","11:12:22.378","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"1976","11:12:22.378","标准帧","数据帧","CAN","0x0","接收成功","8","11 B0 47 84 38 11 21 1F"
"1977","11:12:22.388","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"1978","11:12:22.388","标准帧","数据帧","CAN","0x0","接收成功","8","11 B0 4B 84 48 10 21 1F"
"1979","11:12:22.388","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"1980","11:12:22.388","标准帧","数据帧","CAN","0x0","接收成功","8","11 B0 4E 84 48 10 21 1F"
"1981","11:12:22.388","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"1982","11:12:22.388","标准帧","数据帧","CAN","0x0","接收成功","8","11 B0 51 84 48 10 21 1F"
"1983","11:12:22.388","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"1984","11:12:22.388","标准帧","数据帧","CAN","0x0","接收成功","8","11 B0 55 84 58 10 21 1F"
"1985","11:12:22.388","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"1986","11:12:22.388","标准帧","数据帧","CAN","0x0","接收成功","8","11 B0 5A 84 48 0F 21 1F"
"1987","11:12:22.388","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"1988","11:12:22.388","标准帧","数据帧","CAN","0x0","接收成功","8","11 B0 63 84 48 0F 21 1F"
"1989","11:12:22.399","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"1990","11:12:22.399","标准帧","数据帧","CAN","0x0","接收成功","8","11 B0 64 84 38 0F 21 1F"
"1991","11:12:22.399","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"1992","11:12:22.409","标准帧","数据帧","CAN","0x0","接收成功","8","11 B0 69 84 28 10 21 1F"
"1993","11:12:22.409","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"1994","11:12:22.409","标准帧","数据帧","CAN","0x0","接收成功","8","11 B0 6A 84 28 10 21 1F"
"1995","11:12:22.409","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"1996","11:12:22.409","标准帧","数据帧","CAN","0x0","接收成功","8","11 B0 88 84 28 11 21 1F"
"1997","11:12:22.409","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"1998","11:12:22.409","标准帧","数据帧","CAN","0x0","接收成功","8","11 B0 8F 84 18 11 21 1F"
"1999","11:12:22.409","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"2000","11:12:22.409","标准帧","数据帧","CAN","0x0","接收成功","8","11 B0 93 84 28 11 21 1F"
"2001","11:12:22.409","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"2002","11:12:22.409","标准帧","数据帧","CAN","0x0","接收成功","8","11 B0 98 84 48 11 21 1F"
"2003","11:12:22.420","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"2004","11:12:22.420","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"2005","11:12:22.420","标准帧","数据帧","CAN","0x0","接收成功","8","11 B0 9D 84 48 0F 21 1F"
"2006","11:12:22.420","标准帧","数据帧","CAN","0x0","接收成功","8","11 B0 9E 84 48 0F 21 1F"
"2007","11:12:22.420","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"2008","11:12:22.420","标准帧","数据帧","CAN","0x0","接收成功","8","11 B0 A1 84 38 0F 21 1F"
"2009","11:12:22.420","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"2010","11:12:22.420","标准帧","数据帧","CAN","0x0","接收成功","8","11 B0 A4 84 48 0F 21 1F"
"2011","11:12:22.420","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"2012","11:12:22.420","标准帧","数据帧","CAN","0x0","接收成功","8","11 B0 A7 84 48 0F 21 1F"
"2013","11:12:22.420","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"2014","11:12:22.420","标准帧","数据帧","CAN","0x0","接收成功","8","11 B0 A8 84 48 0F 21 1F"
"2015","11:12:22.420","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"2016","11:12:22.420","标准帧","数据帧","CAN","0x0","接收成功","8","11 B0 AC 84 58 0E 21 1F"
"2017","11:12:22.420","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"2018","11:12:22.420","标准帧","数据帧","CAN","0x0","接收成功","8","11 B0 B1 84 58 0F 21 1F"
"2019","11:12:22.420","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"2020","11:12:22.420","标准帧","数据帧","CAN","0x0","接收成功","8","11 B0 B6 84 38 0F 21 1F"
"2021","11:12:22.420","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"2022","11:12:22.420","标准帧","数据帧","CAN","0x0","接收成功","8","11 B0 B6 84 38 0F 21 1F"
"2023","11:12:22.431","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"2024","11:12:22.431","标准帧","数据帧","CAN","0x0","接收成功","8","11 B0 BA 84 48 0F 21 1F"
"2025","11:12:22.431","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"2026","11:12:22.431","标准帧","数据帧","CAN","0x0","接收成功","8","11 B0 BD 84 38 0F 21 1F"
"2027","11:12:22.431","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"2028","11:12:22.431","标准帧","数据帧","CAN","0x0","接收成功","8","11 B0 BF 84 28 10 21 1F"
"2029","11:12:22.431","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"2030","11:12:22.431","标准帧","数据帧","CAN","0x0","接收成功","8","11 B0 C0 84 28 10 21 1F"
"2031","11:12:22.431","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"2032","11:12:22.431","标准帧","数据帧","CAN","0x0","接收成功","8","11 B0 C3 84 28 11 21 1F"
"2033","11:12:22.431","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"2034","11:12:22.431","标准帧","数据帧","CAN","0x0","接收成功","8","11 B0 C8 84 08 12 21 1F"
"2035","11:12:22.431","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"2036","11:12:22.431","标准帧","数据帧","CAN","0x0","接收成功","8","11 B0 CB 84 18 12 21 1F"
"2037","11:12:22.431","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"2038","11:12:22.431","标准帧","数据帧","CAN","0x0","接收成功","8","11 B0 CC 84 18 13 21 1F"
"2039","11:12:22.431","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"2040","11:12:22.431","标准帧","数据帧","CAN","0x0","接收成功","8","11 B0 D1 84 18 13 21 1F"
"2041","11:12:22.441","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"2042","11:12:22.441","标准帧","数据帧","CAN","0x0","接收成功","8","11 B0 D4 84 18 13 21 1F"
"2043","11:12:22.441","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"2044","11:12:22.441","标准帧","数据帧","CAN","0x0","接收成功","8","11 B0 D7 84 38 13 21 1F"
"2045","11:12:22.441","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"2046","11:12:22.441","标准帧","数据帧","CAN","0x0","接收成功","8","11 B0 DC 84 48 12 21 1F"
"2047","11:12:22.441","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"2048","11:12:22.441","标准帧","数据帧","CAN","0x0","接收成功","8","11 B0 E0 84 48 11 21 1F"
"2049","11:12:22.441","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"2050","11:12:22.441","标准帧","数据帧","CAN","0x0","接收成功","8","11 B0 E1 84 48 11 21 1F"
"2051","11:12:22.441","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"2052","11:12:22.441","标准帧","数据帧","CAN","0x0","接收成功","8","11 B0 E5 84 58 10 21 1F"
"2053","11:12:22.441","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"2054","11:12:22.441","标准帧","数据帧","CAN","0x0","接收成功","8","11 B0 E9 84 78 0F 21 1F"
"2055","11:12:22.441","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"2056","11:12:22.441","标准帧","数据帧","CAN","0x0","接收成功","8","11 B0 ED 84 68 0D 21 1F"
"2057","11:12:22.441","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"2058","11:12:22.441","标准帧","数据帧","CAN","0x0","接收成功","8","11 B0 EE 84 68 0D 21 1F"
"2059","11:12:22.452","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"2060","11:12:22.452","标准帧","数据帧","CAN","0x0","接收成功","8","11 B0 F4 84 58 0D 21 1F"
"2061","11:12:22.452","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"2062","11:12:22.452","标准帧","数据帧","CAN","0x0","接收成功","8","11 B0 F6 84 58 0D 21 1F"
"2063","11:12:22.452","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"2064","11:12:22.452","标准帧","数据帧","CAN","0x0","接收成功","8","11 B0 F7 84 48 0D 21 1F"
"2065","11:12:22.452","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"2066","11:12:22.452","标准帧","数据帧","CAN","0x0","接收成功","8","11 B0 FA 84 48 0E 21 1F"
"2067","11:12:22.452","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"2068","11:12:22.452","标准帧","数据帧","CAN","0x0","接收成功","8","11 B0 FF 84 38 0E 21 1F"
"2069","11:12:22.452","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"2070","11:12:22.452","标准帧","数据帧","CAN","0x0","接收成功","8","11 B1 02 84 28 0F 21 1F"
"2071","11:12:22.452","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"2072","11:12:22.452","标准帧","数据帧","CAN","0x0","接收成功","8","11 B1 07 84 18 11 21 1F"
"2073","11:12:22.463","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"2074","11:12:22.463","标准帧","数据帧","CAN","0x0","接收成功","8","11 B1 0B 84 08 13 21 1F"
"2075","11:12:22.463","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"2076","11:12:22.463","标准帧","数据帧","CAN","0x0","接收成功","8","11 B1 0E 84 08 13 21 1F"
"2077","11:12:22.463","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"2078","11:12:22.463","标准帧","数据帧","CAN","0x0","接收成功","8","11 B1 12 84 18 14 21 1F"
"2079","11:12:22.463","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"2080","11:12:22.463","标准帧","数据帧","CAN","0x0","接收成功","8","11 B1 16 84 38 13 21 1F"
"2081","11:12:22.463","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"2082","11:12:22.463","标准帧","数据帧","CAN","0x0","接收成功","8","11 B1 16 84 38 13 21 1F"
"2083","11:12:22.463","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"2084","11:12:22.463","标准帧","数据帧","CAN","0x0","接收成功","8","11 B1 1B 84 38 12 21 1F"
"2085","11:12:22.463","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"2086","11:12:22.463","标准帧","数据帧","CAN","0x0","接收成功","8","11 B1 1F 84 48 12 21 1F"
"2087","11:12:22.463","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"2088","11:12:22.463","标准帧","数据帧","CAN","0x0","接收成功","8","11 B1 20 84 48 12 21 1F"
"2089","11:12:22.463","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"2090","11:12:22.474","标准帧","数据帧","CAN","0x0","接收成功","8","11 B1 23 84 68 10 21 1F"
"2091","11:12:22.474","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"2092","11:12:22.474","标准帧","数据帧","CAN","0x0","接收成功","8","11 B1 24 84 68 10 21 1F"
"2093","11:12:22.474","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"2094","11:12:22.474","标准帧","数据帧","CAN","0x0","接收成功","8","11 B1 29 84 68 0E 21 1F"
"2095","11:12:22.474","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"2096","11:12:22.474","标准帧","数据帧","CAN","0x0","接收成功","8","11 B1 2C 84 78 0E 21 1F"
"2097","11:12:22.474","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"2098","11:12:22.474","标准帧","数据帧","CAN","0x0","接收成功","8","11 B1 30 84 68 0D 21 1F"
"2099","11:12:22.474","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"2100","11:12:22.474","标准帧","数据帧","CAN","0x0","接收成功","8","11 B1 35 84 68 0D 21 1F"
"2101","11:12:22.474","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"2102","11:12:22.474","标准帧","数据帧","CAN","0x0","接收成功","8","11 B1 37 84 48 0D 21 1F"
"2103","11:12:22.474","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"2104","11:12:22.474","标准帧","数据帧","CAN","0x0","接收成功","8","11 B1 38 84 48 0D 21 1F"
"2105","11:12:22.474","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"2106","11:12:22.474","标准帧","数据帧","CAN","0x0","接收成功","8","11 B1 3B 84 28 0F 21 1F"
"2107","11:12:22.474","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"2108","11:12:22.474","标准帧","数据帧","CAN","0x0","接收成功","8","11 B1 3F 84 28 10 21 1F"
"2109","11:12:22.485","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"2110","11:12:22.485","标准帧","数据帧","CAN","0x0","接收成功","8","11 B1 43 84 18 11 21 1F"
"2111","11:12:22.485","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"2112","11:12:22.485","标准帧","数据帧","CAN","0x0","接收成功","8","11 B1 48 84 08 13 21 1F"
"2113","11:12:22.485","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"2114","11:12:22.485","标准帧","数据帧","CAN","0x0","接收成功","8","11 B1 4C 84 08 15 21 1F"
"2115","11:12:22.485","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"2116","11:12:22.485","标准帧","数据帧","CAN","0x0","接收成功","8","11 B1 50 84 18 15 21 1F"
